,oai,datestamp,language,speaker,doi,length,uri,requires,type
2357,oai:crdo.vjf.cnrs.fr:cocoon-d8f95644-be0a-4d62-abb2-440758b270f4,2020-11-29,Vatlongos,"Ridge, Eleanor",10.24397/PANGLOSS-0000170,373.0,,,
2358,oai:crdo.vjf.cnrs.fr:cocoon-bad000a5-756a-491b-b2f9-fc3ae4af2c79,2022-03-17,Vatlongos,,10.24397/PANGLOSS-0000171,,https://cocoon.huma-num.fr/data/ridge/20170413e_n01m030.xml,oai:crdo.vjf.cnrs.fr:cocoon-d8f95644-be0a-4d62-abb2-440758b270f4,
2359,oai:crdo.vjf.cnrs.fr:cocoon-405b4fb2-56d8-427a-9b4f-b256d8b27afd,2022-06-27,Senhaja de Srair (Zerqet),"El Ayadi, Hmidu",10.24397/pangloss-0007912,86.0,https://cocoon.huma-num.fr/data/gutova/masters/Lmejdub.wav,,narrative
2360,oai:crdo.vjf.cnrs.fr:cocoon-182db29d-da2d-4f7e-adb2-9dda2def7e2b,2022-06-27,Senhaja de Srair (Zerqet),,10.24397/pangloss-0007913,,https://cocoon.huma-num.fr/data/gutova/Lmejdub.xml,oai:crdo.vjf.cnrs.fr:cocoon-405b4fb2-56d8-427a-9b4f-b256d8b27afd,narrative
2361,oai:crdo.vjf.cnrs.fr:cocoon-a720d26d-cd7a-3fb5-b663-4c8a537da990,2022-03-01,Kwênyii,"Kotere, Bénédicto",10.24397/PANGLOSS-0005215,,https://cocoon.huma-num.fr/data/rivierre/masters/crdo-KDK_MAGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-55e478e7-049c-3b5d-a218-1e1a00d8609a,narrative
2362,oai:crdo.vjf.cnrs.fr:cocoon-55e478e7-049c-3b5d-a218-1e1a00d8609a,2021-04-07,Kwênyii,"Kotere, Bénédicto",10.24397/PANGLOSS-0005216,551.0,https://cocoon.huma-num.fr/data/archi/masters/145262.wav,,narrative
2363,oai:crdo.vjf.cnrs.fr:cocoon-8d2f44cd-4c81-30e2-a7d3-7e9dfeb8bb06,2021-04-07,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005217,379.0,https://cocoon.huma-num.fr/data/archi/masters/145243.wav,,narrative
2364,oai:crdo.vjf.cnrs.fr:cocoon-0115f803-bb5a-3672-a96e-e10fbc7d9ce2,2022-03-02,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005218,,https://cocoon.huma-num.fr/data/rivierre/masters/crdo-BWA_DEUIL.xml,oai:crdo.vjf.cnrs.fr:cocoon-8d2f44cd-4c81-30e2-a7d3-7e9dfeb8bb06,narrative
2365,oai:crdo.vjf.cnrs.fr:cocoon-a956bf30-5020-31e4-9770-857af3f2a352,2021-04-07,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005219,997.0,https://cocoon.huma-num.fr/data/archi/masters/145244.wav,,narrative
2366,oai:crdo.vjf.cnrs.fr:cocoon-1b6c7cb5-35db-3ac0-b128-e2f6bca2e2ec,2022-03-02,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005220,,https://cocoon.huma-num.fr/data/rivierre/masters/crdo-BWA_EXODE.xml,oai:crdo.vjf.cnrs.fr:cocoon-a956bf30-5020-31e4-9770-857af3f2a352,narrative
2367,oai:crdo.vjf.cnrs.fr:cocoon-019bc4cc-9c20-3240-8f4f-692c168375a2,2021-04-07,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005221,379.0,https://cocoon.huma-num.fr/data/archi/masters/145245.wav,,narrative
2368,oai:crdo.vjf.cnrs.fr:cocoon-d667cb0e-7df5-3670-9d1b-8221d1cb3a33,2022-03-02,Bwatoo,"Diéla, Raymond",10.24397/PANGLOSS-0005222,,https://cocoon.huma-num.fr/data/rivierre/masters/crdo-BWA_MARIAGE.xml,oai:crdo.vjf.cnrs.fr:cocoon-019bc4cc-9c20-3240-8f4f-692c168375a2,narrative
